STATIONSAFKORTING,STATIONS_NAAM,GEMEENTE,REGIO_RSV_NAAM,REGIO_SSVO_NAAM,IND_BACKUP_VENS,IND_STANDPLAATS_VENS,GELDIGVANAF,GELDIGTM,IND_HUIDIG
Bnn,Barneveld Noord,Barneveld,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Klp,Veenendaal-De Klomp,Ede,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Asdar,Amsterdam Arena,Amsterdam,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hor,Hollandsche Rading,De Bilt,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rtst,Rotterdam Stadion,Rotterdam,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ow,Oss West,Oss,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ehs,Eindhoven Strijp-S,Eindhoven,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ekz,Enkhuizen,Enkhuizen,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Eghm,Eygelshoven Markt,Kerkrade,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hto,'s-Hertogenbosch Oost,'s-Hertogenbosch,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Kmw,Koudum-Molkwerum,Súdwest-Fryslân,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Lw,Leeuwarden,Leeuwarden,RSV Noord-Oost,PE Noord,0,1,2022-09-26 00:00:00.000000,8888-12-31 23:59:59.999999,1
